Cód. Cota,Categoria,Crédito,Entrada,Nº Parcelas,Vlr Parcela,Saldo devedor,Fundo comum,Ref. garantia,Administradora,Status
130,Imóvel,"R$120.150,00","R$45.553,75",151,"R$980,00","R$147.980,00","R$0,00","R$0,00",HS Consórcios,Disponível
603,Imóvel,"R$120.200,00","R$52.805,00",197,"R$755,00","R$148.735,00","R$0,00","R$0,00",Portobens,Disponível
104,Imóvel,"R$122.050,00","R$46.751,25",129,"R$933,00","R$120.357,00","R$0,00","R$0,00",HS Consórcios,Disponível
611,Imóvel,"R$122.157,00","R$49.990,00",167,"R$959,25","R$160.194,75","R$0,00","R$0,00",Rodobens,Disponível
72,Imóvel,"R$123.000,00","R$48.075,00",63,"R$1.731,62","R$109.092,06","R$0,00","R$0,00",Rodobens,Disponível
357,Imóvel,"R$123.000,00","R$54.275,00",63,"R$1.731,62","R$109.092,06","R$0,00","R$0,00",Rodobens,Disponível
612,Imóvel,"R$123.357,00","R$49.990,00",175,"R$920,00","R$161.000,00","R$0,00","R$0,00",Rodobens,Disponível
67,Imóvel,"R$123.500,00","R$41.887,50",96,"R$1.546,00","R$148.416,00","R$0,00","R$0,00",CNP Consórcio,Disponível
134,Imóvel,"R$124.000,00","R$46.900,00",137,"R$1.016,00","R$139.192,00","R$0,00","R$0,00",HS Consórcios,Disponível
420,Imóvel,"R$124.000,00","R$71.900,87",128,"R$772,72","R$98.908,16","R$0,00","R$0,00",Bradesco,Disponível
190,Imóvel,"R$124.250,00","R$47.606,25",124,"R$1.079,00","R$133.796,00","R$0,00","R$0,00",HS Consórcios,Disponível
161,Imóvel,"R$125.000,00","R$50.225,00",134,"R$1.046,00","R$140.164,00","R$0,00","R$0,00",HS Consórcios,Disponível
381,Imóvel,"R$125.200,00","R$61.030,00",38,"R$3.145,54","R$119.530,52","R$0,00","R$0,00",Itaú,Disponível
414,Imóvel,"R$126.000,00","R$61.650,00",42,"R$2.230,00","R$93.660,00","R$0,00","R$0,00",Portobens,Disponível
588,Imóvel,"R$126.500,00","R$67.262,50",183,"R$821,00","R$150.243,00","R$0,00","R$0,00",Portobens,Disponível
364,Imóvel,"R$126.897,48","R$58.072,44",104,"R$900,76","R$93.679,04","R$0,00","R$0,00",HS Consórcios,Disponível
390,Imóvel,"R$126.900,00","R$64.472,50",104,"R$900,76","R$93.679,04","R$0,00","R$0,00",HS Consórcios,Disponível
147,Imóvel,"R$127.800,00","R$49.595,00",203,"R$708,00","R$143.724,00","R$0,00","R$0,00",Santander,Disponível
372,Imóvel,"R$130.000,00","R$66.650,00",93,"R$1.332,00","R$123.876,00","R$0,00","R$0,00",Portobens,Disponível
579,Imóvel,"R$132.000,00","R$62.600,00",205,"R$774,00","R$158.670,00","R$0,00","R$0,00",Santander,Disponível
358,Imóvel,"R$132.210,00","R$58.355,17",75,"R$1.574,96","R$118.122,00","R$0,00","R$0,00",Rodobens,Disponível
384,Imóvel,"R$132.300,00","R$65.007,50",75,"R$1.574,96","R$118.122,00","R$0,00","R$0,00",Rodobens,Disponível
394,Imóvel,"R$134.300,00","R$86.357,50",104,"R$1.218,00","R$126.672,00","R$0,00","R$0,00",Portobens,Disponível
367,Imóvel,"R$135.678,00","R$62.376,95",187,"R$685,00","R$128.095,00","R$0,00","R$0,00",BB Consórcios,Disponível
397,Imóvel,"R$139.300,00","R$98.782,50",86,"R$1.269,00","R$109.134,00","R$0,00","R$0,00",Portobens,Disponível
399,Imóvel,"R$140.000,00","R$72.431,24",42,"R$3.031,24","R$127.312,08","R$0,00","R$0,00",Itaú,Disponível
409,Imóvel,"R$140.000,00","R$76.400,00",43,"R$3.031,24","R$130.343,32","R$0,00","R$0,00",Itaú,Disponível
626,Imóvel,"R$143.248,00","R$56.990,00",75,"R$2.192,31","R$164.423,25","R$0,00","R$0,00",Santander,Disponível
170,Imóvel,"R$144.050,00","R$56.101,25",143,"R$1.219,00","R$174.317,00","R$0,00","R$0,00",HS Consórcios,Disponível
